Name,Industry,Address,Rating,BBB_rating,Business_phone,Website
RLC Construction,"Residential General Contractor, Painting Contractors, Bathroom Remodel ...","Carmel, IN 46032-5247",,A+,(317) 679-3404,
Allied Diversified Construction,"General Contractor, Building Contractors, Commercial Contractors ...","881 3rd Ave SW Ste 100, Carmel, IN 46032-3157",,,(317) 846-2467,
That Contractor Guy Inc.,General Contractor,"12863 Tradd Street, Carmel, IN 46032",,A+,(317) 696-8509,
"IRC Roofing, Inc.","Roofing Contractors, General Contractor","427 Gradle Dr, Carmel, IN 46032-2535",,A+,(317) 574-0637,
"Thomas Jefferson Roofing & Remodeling, LLC","Roofing Contractors, General Contractor, Construction Services ...","1010 3rd Ave SW Ste 209, Carmel, IN 46032-7542",,A+,(317) 846-3598,
"Steve Schutz Builder, Inc.","Home Builders, Roofing Contractors, General Contractor","1016 3rd Ave SW Ste 100, Carmel, IN 46032-2538",,A+,(317) 846-6642,
James Taylor,"General Contractor, Commercial Contractors, Building Restoration","280 Wyndotte Drive, Carmel, IN 46032-9241",,,(317) 439-1700,
"Lush Design Build, LLC","Interior Designer, General Contractor, Pool Contractors ...","Carmel, IN 46032-9221",,A+,(317) 586-0799,
Robert Stevens Roofing,"Roofing Contractors, General Contractor, Painting Contractors ...","13295 Illinois St, Ste 131, Carmel, IN 46032-3019",,A+,(317) 722-1844,
The Roof Squad,"Roofing Contractors, Gutters, Metal Roofing Contractors ...","1033 3rd Ave SW Ste 201, Carmel, IN 46032-7608",,A+,"(317) 922-0055,+1 317-743-7329",
GEMCO LLC,"General Contractor, Plumber, Mechanical Contractors ...","475 Gradle Dr, Carmel, IN 46032-2535",,A+,(317) 846-9299,
"Preferred Roofing & Restoration, LLC","Roofing Contractors, General Contractor, Siding Contractors ...","Carmel, IN 46033",,A+,(317) 414-3044,
"Maintenance One, L L C","General Contractor, Roofing Contractors, Home Improvement","13277 N. Illinois Street, #100, Carmel, IN 46032",,,(317) 566-1030,
"Phelps & Sons Construction, LLC","Home Improvement, General Contractor, Construction Services ...","22 Sherry Court, Carmel, IN 46032-1067",,A+,(317) 502-0196,
"Under Construction, LLC","Home Improvement, General Contractor, Construction Services ...","22 Sherry Court, Carmel, IN 46032-1067",,A+,(317) 502-0196,
"Under Construction, LLC","General Contractor, Roofing Contractors, Construction Services ...","1337 Ironwood Drive West, Carmel, IN 46033-8723",,,(317) 571-1018,
"Restor Group, LLC","General Contractor, Roofing Contractors, Construction Services ...","650 E Carmel Dr Ste 280, Carmel, IN 46032-2867",,A+,(317) 644-0099,
"Kbso Consulting, LLC","Construction, General Contractor, Electrical Contractors ...","1344 S Rangeline Rd Ste 202, Carmel, IN 46032-2932",,,(317) 344-8044,
AmeriPro Roofing,"Roofing Contractors, General Contractor, Siding Contractors ...","11711 Pennsylvania St Ste 105, Carmel, IN 46032",,,(800) 200-8151,
"Home Experts, LLC","General Contractor, Roofing Contractors, Construction Services ...","13672 Stone Dr, Carmel, IN 46032-9637",,A+,(317) 289-7560,
"Transfeld Enterprises, LLC","General Contractor, Roofing Contractors, Painting Contractors ...","Carmel, IN 46032-3431",,A+,(317) 993-3161,
"The Oak Standard, LLC","General Contractor, Construction Services, Painting Contractors ...","PO Box 4744, Carmel, IN 46082-3131",,A+,(419) 343-4212,
"MJ Brown Renovations, LLC","Home Renovation, General Contractor, Construction Services ...","166 W Carmel Dr, Carmel, IN 46032-2526",,A+,"(317) 623-0444,+1 317-623-0444",
"Hudson Construction, Roofing & Restoration, LLC","Roofing Contractors, General Contractor, Gutters ...","Carmel, IN 46033-4424",,A+,(765) 714-7549,
"AY Remodeling & Restoration, LLC","Remodeling, Roofing Contractors, General Contractor ...","Carmel, IN 46033-8610",,A+,(317) 828-1191,
"Blaze Construction, Inc.","General Contractor, Construction Services, Remodel Contractors ...","10411 N College Ave, Carmel, IN 46280-1436",,,(317) 580-1008,
Element Roofing,"Roofing Contractors, General Contractor, Siding Contractors ...","5733 Pebblestone Ct, Carmel, IN 46033",,A+,(317) 760-2898,
"Mr. Right Renovations, LLC","Home Renovation, General Contractor, Construction Services ...","Carmel, IN 46033",,A+,(317) 450-9535,
"James Frye Construction, Inc.","General Contractor, Roofing Contractors, Construction Services ...","12060 Durbin Dr, Carmel, IN 46032-8939",,A+,(317) 876-1919,
White Flag Roofing,"Roofing Contractors, General Contractor, Siding Contractors ...","Carmel, IN 46032-9345",,A+,(317) 658-1305,
Risk Free Exteriors,"Residential General Contractor, Roofing Contractors, Painting Contractors ...","4000 W 106th St Ste 125-235, Carmel, IN 46032-7720",,A+,(317) 757-2970,
Heartland General Contractors,"General Contractor, Home Renovation","3815 River Crossing Pkwy Ste 109, Indianapolis, IN 46240-7746",,A+,"(463) 701-7663,+1 317-754-7728",
Eco-Nomical Contractors,"General Contractor, Roofing Contractors, Plumber ...","1300 E 86th St Ste 14 Box 130, Indianapolis, IN 46240-1910",,A+,(317) 259-7286,
Onox General Contractors LLC,"Custom Home Builder, Roofing Contractors, General Contractor ...","3250A W 86th St, Indianapolis, IN 46268-3605",,A+,(317) 795-7869,
"Proliance General Contractors, Inc.","General Contractor, Roofing Contractors, Siding Contractors ...","9465 Counselors Row, Indianapolis, IN 46240-6423",,B-,(317) 727-4982,
Blend N Contractors,"General Contractor, Roofing Contractors, Siding Contractors ...","15275 Stony Creek Way Ste A, Noblesville, IN 46060-4335",,A+,(317) 284-1965,
"Integrity 1st Contractors, LLC","General Contractor, Roofing Contractors, Siding Contractors ...","943 Marwood Trail North Dr, Indianapolis, IN 46280-1742",,,(317) 694-0051,
Conerstone Contractors,"General Contractor, Drywall Contractors, Construction","7616 Davis Ln, Indianapolis, IN 46236-8876",,,(317) 345-0205,
"Mattcon General Contractors, Inc","General Contractor, Design Contractors, Construction Management","P O Box 98, Zionsville, IN 46077",,A+,(317) 872-4700,
"JL Fox, Inc. General Contractors","Fire and Water Damage Restoration, General Contractor, Remodeling ...","4624 N Keystone Avenue, Indianapolis, IN 46205-1512",,A+,(317) 255-4144,
"Hoosier Contractors, LLC","Roofing Contractors, General Contractor, Siding Contractors ...","Indianapolis, IN 46256-3753",,F,(317) 677-4755,
Indianapolis Downtown Contractors,General Contractor,"2831 N. Delware Street, Indianapolis, IN 46205",,,(317) 514-6739,
North American Contractors,"Roofing Contractors, General Contractor, Construction Services ...","6011 E Hanna Avenue #C, Indianapolis, IN 46203",,A+,(317) 744-1134,
"Circle City Contractors, Inc.","General Contractor, Roofing Contractors, Construction Services ...","PO Box 50568, Indianapolis, IN 46250-0568",,A+,(317) 214-2000,
"Copasetic Contractors, LLC","General Contractor, Construction","7275 N Shadeland Ave Ste 2, Indianapolis, IN 46250-2879",,A+,(317) 546-3482,
