name,industry,address,phone,website
Fisherman's Pizzeria,RestaurantsRestaurant Delivery ServiceBanquet Halls & Reception Facilities,"2800 Leavenworth St, Ste 50, San Francisco, CA 94133",(415) 928-2998,N/A
Cal-Mart Supermarket,RestaurantsGrocery StoresConvenience Stores,"3585 California St, San Francisco, CA 94118",(415) 651-3762,https://calmartsf.com
Fulton Distributing,RestaurantsFast Food RestaurantsPrivate Schools (K-12),N/A,(928) 328-1059,https://www.fultondistributing.com
Bongiovanni's Italian Restaurant,RestaurantsItalian RestaurantsTake Out Restaurants,"15244 Olde Highway 80, El Cajon, CA 92021",(619) 357-4749,https://www.bongiovannisitalianrestaurant.com
Angelina's,RestaurantsSteak HousesItalian Restaurants,"1563 E Fremont St, Stockton, CA 95205",(209) 414-4903,https://angelinas.com
Swartz Home Renovations LLC,RestaurantsTake Out RestaurantsCaterers,N/A,(619) 752-1095,https://remodelerinfl.com
Gabriel's Automotive & Towing,RestaurantsRadiators Automotive Sales & ServiceSeafood Restaurants,"13654 Central Ave, Chino, CA 91710",(909) 464-9005,https://gabrielsautoca.com
Ray's Crab Shack,RestaurantsFamily Style RestaurantsSeafood Restaurants,"5989 Mowry Avenue, Newark, CA 94560",(510) 298-0165,https://www.rayscrabshack.com
El Indio Mexican Restaurant,RestaurantsGourmet ShopsFamily Style Restaurants,N/A,(619) 981-7275,https://painterintn.com
Flaherty's Oyster Bar & Seafood Grill,RestaurantsSeafood Restaurants,"Carmel, CA 93921",(831) 574-1619,http://www.flahertysseafood.com
Slow Hand BBQ,RestaurantsBarbecue RestaurantsCaterers,"601 Main Street, Martinez, CA 94553",(925) 335-9915,https://www.slowhandbbq.com
Chicago Pasta House,RestaurantsItalian RestaurantsPizza,"24667 Sunnymead Blvd, Moreno Valley, CA 92553",(951) 363-4172,http://www.chicagopastahouse.com
Tommy's Wok,RestaurantsChinese RestaurantsTake Out Restaurants,"3001 Bridgeway Ste H, Sausalito, CA 94965",(415) 332-5818,http://www.tommyswok.com
Hatam Restaurant,RestaurantsMiddle Eastern RestaurantsBanquet Halls & Reception Facilities,"2383 W Lincoln Avenue, Anaheim, CA 92801",(714) 991-6262,http://www.hatamrestaurant.net
Benji's French Basque Restaurant,RestaurantsCocktail Lounges,"4001 Rosedale Hwy, Bakersfield, CA 93308",(661) 437-3925,http://www.benjisbasque.com
Mexicali Restaurants,RestaurantsMexican RestaurantsFamily Style Restaurants,"631 18th St, Bakersfield, CA 93301",(661) 327-3861,http://www.mexicalirestaurants.com
Carneros Deli,RestaurantsLiquor StoresTake Out Restaurants,"23001 Arnold Drive, Sonoma, CA 95476",(707) 934-9195,http://bonneaucountry.com
Rooster Run Event Ctr,RestaurantsGolf CoursesWedding Supplies & Services,"2301 E Washington St, Petaluma, CA 94954",(707) 981-4298,https://www.roosterrun.com
Imperial Garden,RestaurantsTake Out RestaurantsFood Delivery Service,"2045 W Briggsmore Ave, Ste A1, Modesto, CA 95350",(209) 758-9788,http://www.chineserestaurantmodesto.com
Belmar-Lagallinita Meat Market & Catering,RestaurantsGrocery StoresGrocers-Ethnic Foods,"2989 24th St, San Francisco, CA 94110",(628) 777-2201,N/A
Rooster Run Golf Club,RestaurantsWedding Supplies & ServicesBanquet Halls & Reception Facilities,"2301 E Washington St, Petaluma, CA 94954",(707) 778-1211,http://www.roosterrun.com
Little Joe's Pizza,RestaurantsFamily Style RestaurantsMexican Restaurants,"5006 Mission St, San Francisco, CA 94112",(415) 333-3684,http://www.littlejoespizzeria.com
Charlie's Restaurants,RestaurantsWedding Supplies & ServicesWedding Chapels & Ceremonies,"1320 19th Hole Dr, Windsor, CA 95492",(707) 687-9783,http://www.windsorgolf.com
The Spinnaker - Sausalito,RestaurantsWedding Supplies & ServicesItalian Restaurants,"100 Spinnaker Dr, Sausalito, CA 94965",(415) 332-1500,http://www.thespinnaker.com
Tre Posti Events & Catering,RestaurantsParty PlanningCaterers,"641 Main St, Saint Helena, CA 94574",(707) 963-7600,https://treposti.com/corp-events
Oko Sushi,RestaurantsTake Out RestaurantsAsian Restaurants,"12280 Industry Blvd, Jackson, CA 95642",(209) 223-4088,http://www.okosushijackson.com
Patron Mexican Bar and Grill,Restaurants,"5227 Mission Oaks Blvd, Camarillo, CA 93012",(805) 621-7251,https://patronmex.com
Taxco Fine Mexican Restaurant,RestaurantsFood Delivery ServiceTake Out Restaurants,"28152 S. Western Ave, San Pedro, CA 90732",(424) 482-4504,https://taxcosanpedro.com
El Palomar Restaurant,RestaurantsMexican Restaurants,"1934 Main, Watsonville, CA 95076",(831) 226-1992,N/A
Two Guys Pizza And Pasta,RestaurantsPizzaItalian Restaurants,"2566 Highland Ave, Highland, CA 92346",(909) 862-7700,http://twoguyspizza.net
