city,state,city_ori,state_ori,state_code
abbeville,alabama,Abbeville,Alabama,AL
adamsville,alabama,Adamsville,Alabama,AL
alabaster,alabama,Alabaster,Alabama,AL
albertville,alabama,Albertville,Alabama,AL
alexander,alabama,Alexander City,Alabama,AL
alexandria,alabama,Alexandria,Alabama,AL
aliceville,alabama,Aliceville,Alabama,AL
andalusia,alabama,Andalusia,Alabama,AL
anniston,alabama,Anniston,Alabama,AL
arab,alabama,Arab,Alabama,AL
argo,alabama,Argo,Alabama,AL
ashford,alabama,Ashford,Alabama,AL
ashland,alabama,Ashland,Alabama,AL
ashville,alabama,Ashville,Alabama,AL
athens,alabama,Athens,Alabama,AL
atmore,alabama,Atmore,Alabama,AL
attalla,alabama,Attalla,Alabama,AL
auburn,alabama,Auburn,Alabama,AL
autauga,alabama,Autauga County,Alabama,AL
baldwin,alabama,Baldwin County,Alabama,AL
ballplay,alabama,Ballplay,Alabama,AL
barbour,alabama,Barbour County,Alabama,AL
minette,alabama,Bay Minette,Alabama,AL
la batre,alabama,Bayou La Batre,Alabama,AL
,alabama,Bear Creek,Alabama,AL
,alabama,Berry,Alabama,AL
bessemer,alabama,Bessemer,Alabama,AL
bibb,alabama,Bibb County,Alabama,AL
birmingham,alabama,Birmingham,Alabama,AL
blount,alabama,Blount County,Alabama,AL
blountsville,alabama,Blountsville,Alabama,AL
,alabama,Blue Ridge,Alabama,AL
boaz,alabama,Boaz,Alabama,AL
brent,alabama,Brent,Alabama,AL
brewton,alabama,Brewton,Alabama,AL
bridgeport,alabama,Bridgeport,Alabama,AL
brighton,alabama,Brighton,Alabama,AL
,alabama,Brook Highland,Alabama,AL
brookside,alabama,Brookside,Alabama,AL
brookwood,alabama,Brookwood,Alabama,AL
brundidge,alabama,Brundidge,Alabama,AL
bullock,alabama,Bullock County,Alabama,AL
,alabama,Butler,Alabama,AL
,alabama,Butler County,Alabama,AL
bynum,alabama,Bynum,Alabama,AL
cahaba heights,alabama,Cahaba Heights,Alabama,AL
calera,alabama,Calera,Alabama,AL
calhoun,alabama,Calhoun County,Alabama,AL
camden,alabama,Camden,Alabama,AL
,alabama,Carbon Hill,Alabama,AL
carlisle-rockledge,alabama,Carlisle-Rockledge,Alabama,AL
carrollton,alabama,Carrollton,Alabama,AL
cedar bluff,alabama,Cedar Bluff,Alabama,AL
,alabama,Center Point,Alabama,AL
,alabama,Centre,Alabama,AL
centreville,alabama,Centreville,Alabama,AL
chalkville,alabama,Chalkville,Alabama,AL
chambers,alabama,Chambers County,Alabama,AL
chatom,alabama,Chatom,Alabama,AL
chelsea,alabama,Chelsea,Alabama,AL
cherokee,alabama,Cherokee,Alabama,AL
cherokee,alabama,Cherokee County,Alabama,AL
chickasaw,alabama,Chickasaw,Alabama,AL
childersburg,alabama,Childersburg,Alabama,AL
chilton,alabama,Chilton County,Alabama,AL
choccolocco,alabama,Choccolocco,Alabama,AL
choctaw,alabama,Choctaw County,Alabama,AL
citronelle,alabama,Citronelle,Alabama,AL
clanton,alabama,Clanton,Alabama,AL
clarke,alabama,Clarke County,Alabama,AL
,alabama,Clay,Alabama,AL
,alabama,Clay County,Alabama,AL
clayton,alabama,Clayton,Alabama,AL
cleburne,alabama,Cleburne County,Alabama,AL
cleveland,alabama,Cleveland,Alabama,AL
clio,alabama,Clio,Alabama,AL
coaling,alabama,Coaling,Alabama,AL
,alabama,Coffee County,Alabama,AL
colbert,alabama,Colbert County,Alabama,AL
collinsville,alabama,Collinsville,Alabama,AL
columbiana,alabama,Columbiana,Alabama,AL
concord,alabama,Concord,Alabama,AL
conecuh,alabama,Conecuh County,Alabama,AL
coosa,alabama,Coosa County,Alabama,AL
coosada,alabama,Coosada,Alabama,AL
cordova,alabama,Cordova,Alabama,AL
cottonwood,alabama,Cottonwood,Alabama,AL
covington,alabama,Covington County,Alabama,AL
cowarts,alabama,Cowarts,Alabama,AL
crenshaw,alabama,Crenshaw County,Alabama,AL
creola,alabama,Creola,Alabama,AL
crossville,alabama,Crossville,Alabama,AL
cullman,alabama,Cullman,Alabama,AL
cullman,alabama,Cullman County,Alabama,AL
dadeville,alabama,Dadeville,Alabama,AL
dale,alabama,Dale County,Alabama,AL
daleville,alabama,Daleville,Alabama,AL
dallas,alabama,Dallas County,Alabama,AL
danville,alabama,Danville,Alabama,AL
daphne,alabama,Daphne,Alabama,AL
dauphin,alabama,Dauphin Island,Alabama,AL
deatsville,alabama,Deatsville,Alabama,AL
decatur,alabama,Decatur,Alabama,AL
dekalb,alabama,DeKalb County,Alabama,AL
demopolis,alabama,Demopolis,Alabama,AL
dixiana,alabama,Dixiana,Alabama,AL
dora,alabama,Dora,Alabama,AL
dothan,alabama,Dothan,Alabama,AL
springs,alabama,Double Springs,Alabama,AL
brewton,alabama,East Brewton,Alabama,AL
florence,alabama,East Florence,Alabama,AL
eclectic,alabama,Eclectic,Alabama,AL
elba,alabama,Elba,Alabama,AL
elberta,alabama,Elberta,Alabama,AL
elmore,alabama,Elmore,Alabama,AL
elmore,alabama,Elmore County,Alabama,AL
,alabama,Emerald Mountain,Alabama,AL
,alabama,Enterprise,Alabama,AL
escambia,alabama,Escambia County,Alabama,AL
etowah,alabama,Etowah County,Alabama,AL
eufaula,alabama,Eufaula,Alabama,AL
eutaw,alabama,Eutaw,Alabama,AL
evergreen,alabama,Evergreen,Alabama,AL
fairfield,alabama,Fairfield,Alabama,AL
fairhope,alabama,Fairhope,Alabama,AL
falkville,alabama,Falkville,Alabama,AL
fayette,alabama,Fayette,Alabama,AL
fayette,alabama,Fayette County,Alabama,AL
fayetteville,alabama,Fayetteville,Alabama,AL
,alabama,Flint City,Alabama,AL
flomaton,alabama,Flomaton,Alabama,AL
florala,alabama,Florala,Alabama,AL
florence,alabama,Florence,Alabama,AL
foley,alabama,Foley,Alabama,AL
forestdale,alabama,Forestdale,Alabama,AL
,alabama,Fort Deposit,Alabama,AL
payne,alabama,Fort Payne,Alabama,AL
rucker,alabama,Fort Rucker,Alabama,AL
franklin,alabama,Franklin County,Alabama,AL
frisco,alabama,Frisco City,Alabama,AL
fultondale,alabama,Fultondale,Alabama,AL
fyffe,alabama,Fyffe,Alabama,AL
gadsden,alabama,Gadsden,Alabama,AL
gardendale,alabama,Gardendale,Alabama,AL
geneva,alabama,Geneva,Alabama,AL
geneva,alabama,Geneva County,Alabama,AL
georgiana,alabama,Georgiana,Alabama,AL
glencoe,alabama,Glencoe,Alabama,AL
,alabama,Good Hope,Alabama,AL
goodwater,alabama,Goodwater,Alabama,AL
gordo,alabama,Gordo,Alabama,AL
,alabama,Grand Bay,Alabama,AL
grayson,alabama,Grayson Valley,Alabama,AL
graysville,alabama,Graysville,Alabama,AL
greene,alabama,Greene County,Alabama,AL
greensboro,alabama,Greensboro,Alabama,AL
greenville,alabama,Greenville,Alabama,AL
,alabama,Grove Hill,Alabama,AL
guin,alabama,Guin,Alabama,AL
gulf shores,alabama,Gulf Shores,Alabama,AL
guntersville,alabama,Guntersville,Alabama,AL
hackleburg,alabama,Hackleburg,Alabama,AL
hale,alabama,Hale County,Alabama,AL
haleyville,alabama,Haleyville,Alabama,AL
hamilton,alabama,Hamilton,Alabama,AL
hanceville,alabama,Hanceville,Alabama,AL
harpersville,alabama,Harpersville,Alabama,AL
hartford,alabama,Hartford,Alabama,AL
hartselle,alabama,Hartselle,Alabama,AL
,alabama,Harvest,Alabama,AL
hayden,alabama,Hayden,Alabama,AL
hayneville,alabama,Hayneville,Alabama,AL
,alabama,Hazel Green,Alabama,AL
headland,alabama,Headland,Alabama,AL
heflin,alabama,Heflin,Alabama,AL
helena,alabama,Helena,Alabama,AL
henagar,alabama,Henagar,Alabama,AL
henry,alabama,Henry County,Alabama,AL
lakes,alabama,Highland Lakes,Alabama,AL
hokes bluff,alabama,Hokes Bluff,Alabama,AL
holt,alabama,Holt,Alabama,AL
holtville,alabama,Holtville,Alabama,AL
homewood,alabama,Homewood,Alabama,AL
hoover,alabama,Hoover,Alabama,AL
houston,alabama,Houston County,Alabama,AL
hueytown,alabama,Hueytown,Alabama,AL
huguley,alabama,Huguley,Alabama,AL
huntsville,alabama,Huntsville,Alabama,AL
indian springs,alabama,Indian Springs Village,Alabama,AL
inverness,alabama,Inverness,Alabama,AL
irondale,alabama,Irondale,Alabama,AL
jackson,alabama,Jackson,Alabama,AL
jackson,alabama,Jackson County,Alabama,AL
jacksonville,alabama,Jacksonville,Alabama,AL
jasper,alabama,Jasper,Alabama,AL
jefferson,alabama,Jefferson County,Alabama,AL
jemison,alabama,Jemison,Alabama,AL
kimberly,alabama,Kimberly,Alabama,AL
kinsey,alabama,Kinsey,Alabama,AL
ladonia,alabama,Ladonia,Alabama,AL
lafayette,alabama,Lafayette,Alabama,AL
purdy,alabama,Lake Purdy,Alabama,AL
,alabama,Lake View,Alabama,AL
lamar,alabama,Lamar County,Alabama,AL
lanett,alabama,Lanett,Alabama,AL
lauderdale,alabama,Lauderdale County,Alabama,AL
lawrence,alabama,Lawrence County,Alabama,AL
lee,alabama,Lee County,Alabama,AL
leeds,alabama,Leeds,Alabama,AL
leesburg,alabama,Leesburg,Alabama,AL
plains,alabama,Level Plains,Alabama,AL
,alabama,Limestone County,Alabama,AL
lincoln,alabama,Lincoln,Alabama,AL
linden,alabama,Linden,Alabama,AL
lineville,alabama,Lineville,Alabama,AL
lipscomb,alabama,Lipscomb,Alabama,AL
livingston,alabama,Livingston,Alabama,AL
,alabama,Locust Fork,Alabama,AL
lowndes,alabama,Lowndes County,Alabama,AL
loxley,alabama,Loxley,Alabama,AL
luverne,alabama,Luverne,Alabama,AL
macon,alabama,Macon County,Alabama,AL
madison,alabama,Madison,Alabama,AL
madison,alabama,Madison County,Alabama,AL
malvern,alabama,Malvern,Alabama,AL
marbury,alabama,Marbury,Alabama,AL
marengo,alabama,Marengo County,Alabama,AL
margaret,alabama,Margaret,Alabama,AL
marion,alabama,Marion,Alabama,AL
marion,alabama,Marion County,Alabama,AL
marshall,alabama,Marshall County,Alabama,AL
meadowbrook,alabama,Meadowbrook,Alabama,AL
meridianville,alabama,Meridianville,Alabama,AL
midfield,alabama,Midfield,Alabama,AL
midland,alabama,Midland City,Alabama,AL
mignon,alabama,Mignon,Alabama,AL
millbrook,alabama,Millbrook,Alabama,AL
,alabama,Minor,Alabama,AL
,alabama,Mobile,Alabama,AL
,alabama,Mobile County,Alabama,AL
monroe,alabama,Monroe County,Alabama,AL
monroeville,alabama,Monroeville,Alabama,AL
montevallo,alabama,Montevallo,Alabama,AL
montgomery,alabama,Montgomery,Alabama,AL
montgomery,alabama,Montgomery County,Alabama,AL
,alabama,Moody,Alabama,AL
moores,alabama,Moores Mill,Alabama,AL
morgan,alabama,Morgan County,Alabama,AL
morris,alabama,Morris,Alabama,AL
moulton,alabama,Moulton,Alabama,AL
moundville,alabama,Moundville,Alabama,AL
mount,alabama,Mount Olive,Alabama,AL
mount vernon,alabama,Mount Vernon,Alabama,AL
,alabama,Mountain Brook,Alabama,AL
munford,alabama,Munford,Alabama,AL
shoals,alabama,Muscle Shoals,Alabama,AL
new brockton,alabama,New Brockton,Alabama,AL
new,alabama,New Hope,Alabama,AL
new,alabama,New Market,Alabama,AL
newton,alabama,Newton,Alabama,AL
bibb,alabama,North Bibb,Alabama,AL
northport,alabama,Northport,Alabama,AL
odenville,alabama,Odenville,Alabama,AL
ohatchee,alabama,Ohatchee,Alabama,AL
oneonta,alabama,Oneonta,Alabama,AL
opelika,alabama,Opelika,Alabama,AL
opp,alabama,Opp,Alabama,AL
,alabama,Orange Beach,Alabama,AL
owens roads,alabama,Owens Cross Roads,Alabama,AL
,alabama,Oxford,Alabama,AL
ozark,alabama,Ozark,Alabama,AL
pelham,alabama,Pelham,Alabama,AL
pell,alabama,Pell City,Alabama,AL
perry,alabama,Perry County,Alabama,AL
phenix,alabama,Phenix City,Alabama,AL
phil campbell,alabama,Phil Campbell,Alabama,AL
pickens,alabama,Pickens County,Alabama,AL
piedmont,alabama,Piedmont,Alabama,AL
,alabama,Pike County,Alabama,AL
,alabama,Pike Road,Alabama,AL
,alabama,Pine Level,Alabama,AL
pinson,alabama,Pinson,Alabama,AL
pleasant,alabama,Pleasant Grove,Alabama,AL
clear,alabama,Point Clear,Alabama,AL
prattville,alabama,Prattville,Alabama,AL
priceville,alabama,Priceville,Alabama,AL
prichard,alabama,Prichard,Alabama,AL
ragland,alabama,Ragland,Alabama,AL
,alabama,Rainbow City,Alabama,AL
rainsville,alabama,Rainsville,Alabama,AL
randolph,alabama,Randolph County,Alabama,AL
,alabama,Red Bay,Alabama,AL
redstone arsenal,alabama,Redstone Arsenal,Alabama,AL
,alabama,Reform,Alabama,AL
rehobeth,alabama,Rehobeth,Alabama,AL
riverside,alabama,Riverside,Alabama,AL
roanoke,alabama,Roanoke,Alabama,AL
robertsdale,alabama,Robertsdale,Alabama,AL
,alabama,Rock Creek,Alabama,AL
rockford,alabama,Rockford,Alabama,AL
rogersville,alabama,Rogersville,Alabama,AL
russell,alabama,Russell County,Alabama,AL
russellville,alabama,Russellville,Alabama,AL
clair,alabama,Saint Clair County,Alabama,AL
saks,alabama,Saks,Alabama,AL
samson,alabama,Samson,Alabama,AL
saraland,alabama,Saraland,Alabama,AL
sardis,alabama,Sardis City,Alabama,AL
satsuma,alabama,Satsuma,Alabama,AL
